timestep,average_reward
10800,-2.9218948
10900,-1.8255947
11000,-3.0106394
11100,-1.695175
11200,-2.8377166
11300,-3.2300625
11400,-2.7625697
11500,-2.187388
11600,-1.8224281
11700,-1.8945292
11800,-2.8966596
11900,-2.740558
12000,-2.0643363
12100,-2.872247
12200,-3.3289206
12300,-3.310325
12400,-3.2979202
12500,-4.5030627
12600,-3.490313
12700,-1.9444336
12800,-1.8396474
12900,-3.4556293
13000,-1.9351856
13100,-3.6315765
13200,-1.9181442
13300,-4.09924
13400,-3.7878776
13500,-2.0692644
13600,-2.828154
13700,-1.9635118
13800,-1.8814163
13900,-2.7920573
14000,-3.0410662
14100,-1.7662507
14200,-2.077628
14300,-3.0025656
14400,-2.693198
14500,-2.6695182
14600,-2.7990866
14700,-2.596925
14800,-2.851149
14900,-2.169809
15000,-3.2931943
15100,-1.8678378
15200,-3.4970746
15300,-2.993306
15400,-2.4563966
15500,-2.7137215
15600,-2.6407743
15700,-3.0725744
15800,-3.208315
15900,-2.7465925
16000,-3.0934799
16100,-1.9118272
16200,-2.6315725
16300,-3.494914
16400,-3.1430047
16500,-4.0121217
16600,-3.0230742
16700,-2.9084916
16800,-1.8318428
16900,-3.948092
17000,-1.8973804
17100,-1.7931352
17200,-1.9453881
17300,-2.1065638
17400,-1.8440819
17500,-2.8745444
17600,-2.6091022
17700,-2.4307103
17800,-2.6676419
17900,-2.8522985
18000,-2.348111
18100,-1.849467
18200,-2.3421376
18300,-2.2771537
18400,-2.072853
18500,-1.9490312
18600,-2.409586
18700,-2.369009
18800,-2.0711474
18900,-2.3602438
19000,-2.4070537
19100,-2.3453224
19200,-2.6979358
19300,-2.4121614
19400,-1.8026782
19500,-2.2749143
19600,-2.608522
19700,-2.4727566
19800,-1.819462
19900,-1.9209895
20000,-2.0106847
20100,-2.156399
20200,-7.7315917
20300,-2.179511
20400,-1.8458052
20500,-2.3581102
20600,-2.7337298
20700,-2.1914465
20800,-2.2290282
20900,-2.6820145
21000,-1.9640993
21100,-2.1282287
21200,-1.8888539
21300,-2.2983458
21400,-2.391992
21500,-2.398908
21600,-2.0916016
21700,-1.9906429
21800,-2.0973814
21900,-2.528293
22000,-2.2791166
22100,-1.7287462
22200,-2.4252403
22300,-2.2127426
22400,-2.250862
22500,-1.9138124
22600,-2.38459
22700,-2.274452
22800,-2.3682544
22900,-1.7122676
23000,-1.8111582
23100,-2.121898
23200,-2.1846342
23300,-2.1071014
23400,-2.4114115
23500,-2.1430686
23600,-2.2028365
23700,-2.1898842
23800,-2.4053116
